лемма	IDF
аааааааааа	4.605170
аббатство	4.605170
абгор	4.605170
абдюшев	4.605170
абес	4.605170
абилина	4.605170
абрикос	3.912023
абрикосовый	3.912023
абсолютно	1.832581
абсурдный	4.605170
абхазский	0.116534
авантюризм	4.605170
август	0.843970
авдать	4.605170
авокадо	3.218876
авраменко	4.605170
аврора	4.605170
австралийский	0.116534
австрийский	0.116534
авто	4.605170
автоклав	0.116534
автоматический	4.605170
автомобиль	4.605170
автор	0.040822
авторизация	3.912023
авторитет	4.605170
авторский	3.912023
агро	0.116534
агродольче	4.605170
агрофена	4.605170
адалий	4.605170
адаптировать	2.659260
аджика	0.040822
администратор	2.995732
адольф	3.218876
адрес	2.995732
адыгейский	4.605170
ажур	2.525729
ажурный	2.659260
аз	0.127833
азербайджан	4.605170
азербайджанский	0.116534
азиатский	0.127833
азия	3.912023
азу	2.813411
айдахо	4.605170
айнтопф	3.912023
айран	0.040822
академия	4.605170
акараж	4.605170
аква	4.605170
акватик	0.127833
акветта	4.605170
аккаунт	4.605170
аккуратно	3.506558
акрон	4.605170
активность	4.605170
активный	3.912023
актуально	4.605170
актуальный	3.912023
акцент	4.605170
акция	2.040221
акчучий	2.995732
алабама	4.605170
аламед	3.912023
алекс	4.605170
александер	3.506558
александр	2.995732
алексеев	4.605170
алексей	0.127833
ален	4.605170
алиго	4.605170
алиев	3.506558
алий	2.813411
алиса	4.605170
алкоголь	0.116534
алкогольный	0.116534
алла	4.605170
аллочки	4.605170
аллочко	3.912023
аллюр	4.605170
алсу	4.605170
алушта	4.605170
альпы	4.605170
альтернатива	2.813411
альтернативный	3.912023
альтрус	4.605170
альянс	0.116534
амандин	4.605170
амарант	4.605170
америка	2.207275
американск	2.995732
американский	0.116534
амплуа	3.912023
амур	4.605170
ана	4.605170
аналитик	4.605170
аналог	2.995732
аналогично	4.605170
ананас	2.995732
ананасовый	3.506558
анастасия	3.506558
анатомический	4.605170
ангарский	4.605170
ангел	4.605170
английски	3.912023
английский	0.116534
англичанин	4.605170
англия	4.605170
ангус	4.605170
андалусиа	4.605170
андрей	0.127833
анечка	3.912023
анис	4.605170
анкарташа	4.605170
анкета	4.605170
анклый	4.605170
анкоридж	4.605170
анна	2.995732
аноним	4.605170
антарес	4.605170
антидот	4.605170
античный	4.605170
антонин	4.605170
антонио	3.912023
анчоус	3.912023
аня	3.912023
апайя	4.605170
апельсин	2.813411
апельсиновый	3.506558
аппетит	2.302585
аппетитно	3.506558
аппетитный	1.832581
апрель	0.544727
апфелькрен	4.605170
арабский	0.116534
арахис	2.995732
арахисовый	3.912023
арбат	2.525729
арбузный	3.912023
аргентинский	0.116534
ареал	4.605170
арец	4.605170
аризона	3.912023
арканзас	4.605170
армия	4.605170
армянин	4.605170
армянский	0.116534
аромат	0.820981
ароматизатор	3.912023
ароматизированный	4.605170
ароматный	0.693147
артишок	3.506558
артёмовск	4.605170
архангельск	4.605170
архив	4.605170
арье	4.605170
ассорти	0.116534
ассоциация	4.605170
ассоциироваться	3.912023
ася	3.218876
атабаска	3.912023
атаев	4.605170
атлант	0.116534
атмор	4.605170
атмосфера	2.813411
атрибут	4.605170
ауричка	3.506558
аутентичность	4.605170
аутентичный	3.506558
афганский	0.116534
африканец	4.605170
африканский	0.116534
афро	4.605170
афродизиак	4.605170
ах	3.912023
ачм	3.218876
аэрогриль	0.116534
аэропорт	2.525729
баба	3.912023
бабич	1.514128
бабуля	3.912023
бабушка	2.207275
бабушкин	3.912023
баварски	4.605170
баварский	3.506558
багет	2.995732
бад	4.605170
бадейка	4.605170
бадьян	3.218876
бажа	4.605170
базилик	1.609438
базовый	3.912023
байка	3.912023
байрам	4.605170
бак	4.605170
бакинский	4.605170
баклажан	0.040822
баклажанный	4.605170
балаклава	4.605170
балкон	2.120264
балмарей	4.605170
баловать	4.605170
балтимор	4.605170
балткома	0.127833
балык	4.605170
бальзамик	2.659260
бамия	4.605170
банальный	2.995732
банан	3.218876
банановый	3.218876
бангора	3.912023
банзать	4.605170
банк	1.966113
банковский	4.605170
баночка	2.995732
баня	4.605170
бар	3.218876
бараний	4.605170
баранина	0.116534
барашек	4.605170
барбарис	4.605170
барбекю	3.218876
барби	2.525729
бардак	4.605170
барнхаус	3.218876
барный	4.605170
бартлесвиль	4.605170
бархат	4.605170
бархатистый	3.912023
бархатный	2.659260
бархатов	3.506558
барьерный	4.605170
баск	4.605170
басмати	0.127833
бассейн	4.605170
бастета	4.605170
бастурм	0.040822
бастурма	0.040822
батат	4.605170
батон	1.514128
батончик	0.127833
баурсак	4.605170
баффало	3.506558
башкирский	0.116534
баян	4.605170
баянищий	4.605170
беарна	4.605170
бегом	4.605170
беда	3.218876
бедро	2.302585
бедрышка	3.506558
беженец	4.605170
безалкогольный	0.116534
безвредный	3.506558
безглютеновое	0.116534
безделица	4.605170
безделушка	4.605170
безделье	4.605170
бездрожжевой	2.407946
безе	0.040822
беззаботный	4.605170
безказеиновый	4.605170
безмерно	2.659260
безобразие	2.525729
безопасно	4.605170
безответно	4.605170
безразмерный	4.605170
безумие	4.605170
безумно	1.560648
безупречный	3.912023
безусловно	4.605170
бейкерсфилд	4.605170
бекон	1.897120
белебеевский	0.116534
белка	2.120264
белко	4.605170
белковый	4.605170
белок	2.040221
